,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
628,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.69,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.588702731
629,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.97,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.322518761
630,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.51,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.506058091
631,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.98,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.574724422
632,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.72,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.577157784
633,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.94,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.587221957
634,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.54,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.581252054
635,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.84,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.566143521
636,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.05,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.544359177
637,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.76,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.569116493
638,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.15,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.540900257
